date,time,open,high,low,close,volume
Jan-25-2021,32305.898873031,32773.465650469,31013.714458819,32577.768696891,94141056517.76187,594982368471.0361
Jan-24-2021,32224.508685312,34818.219001231,32130.657203999,32272.783841286,85932342667.28577,620636318880.9111
Jan-23-2021,32081.018951845,32941.580322984,31122.253072711,32261.744350118,71915450466.46252,599252216356.291
Jan-22-2021,32976.472137391,33293.433935943,31464.568450061,32045.83959395,92468003469.68347,601514283280.0835
Jan-21-2021,30838.199012273,33800.961797821,28997.512820993,32836.135575065,139223374167.47925,592458335565.279
Jan-20-2021,35477.524459469,35477.524459469,30202.762335505,30892.802357827,104277748205.7988,613606162666.3647
Jan-19-2021,36002.594349953,36371.093896625,33593.671874948,35636.110992082,98186705206.41495,653840590324.3937
Jan-18-2021,36632.318175571,37701.57868118,36163.74097879,36177.487494105,94696323432.83704,685127879868.8513
Jan-17-2021,35822.529922864,37365.984728677,34840.492160995,36714.843204834,85952054615.28078,670424015901.1846
Jan-16-2021,36061.523742763,36682.760628346,34095.169184682,35786.417028053,92863643157.15813,663270945739.4935
Jan-15-2021,36833.613578222,37910.764213,35624.47868503,36178.180209501,123693873048.22154,685154441525.9501
Jan-14-2021,39280.298435092,39645.499119445,34599.968353321,36678.950398519,117305372507.91306,697436710488.2584
Jan-13-2021,37394.122642209,40000.014205919,36882.027990631,39304.686213759,114931563480.27837,716637812011.46
Jan-12-2021,34060.129315687,37626.126561642,32445.497996412,37359.33215959,126174618899.73375,645088905820.236
Jan-11-2021,35549.971250334,36524.892022449,32957.846755722,33949.396834015,176864618865.55716,648089950366.6829
Jan-10-2021,38223.373713229,38223.373713229,30592.255264247,35569.722698726,182855100854.80692,638126812425.5908
Jan-09-2021,40083.81722368,41255.979202664,35933.661817445,38299.01960037,107609376316.1692,737715778475.4187
Jan-08-2021,40577.810043195,41291.465971185,38819.670094577,40129.000498579,134582898528.89247,749903824715.6616
Jan-07-2021,39437.44033739,41849.906402124,36711.862224526,40703.290535401,172295440554.826,739499799350.0328
Jan-06-2021,36814.681967048,40164.159004366,36345.635772118,39493.128514839,141292953594.38013,706528659351.8286
Jan-05-2021,33895.701913021,36904.218251055,33315.06731261,36904.218251055,120556816942.46577,646919963464.8158
